layer,row,column,ISEG,IREACH,RCHLEN,STRTOP,SLOPE,STRTHICK,STRHC1,cellid,x,y,ICALC,OUTSEG,IUPSEG,IPRIOR,ROUGHCH,SWSID
1,65,26,16,12,527.1,362.358,1.49E-02,2.00E+00,5,11546,6392787.3,1973610.5,1,17,0,0,0.035,10256
1,65,27,16,13,555.8,353.78,1.49E-02,2.00E+00,5,11547,6393257.2,1973781.5,1,17,0,0,0.035,10256
1,65,28,16,14,301.8,347.313,1.49E-02,2.00E+00,5,11548,6393727,1973952.6,1,17,0,0,0.035,10256
1,65,28,17,1,321.4,342.88,3.01E-03,2.00E+00,1,11548,6393727,1973952.6,1,18,0,0,0.035,10047
1,65,29,17,2,80.8,341.619,3.01E-03,2.00E+00,1,11549,6394196.8,1974123.6,1,18,0,0,0.035,10047
1,66,29,17,3,828.4,340.359,3.01E-03,2.00E+00,1,11729,6394367.9,1973653.7,1,18,0,0,0.035,10047
1,66,30,17,4,250.5,339.099,3.01E-03,2.00E+00,1,11730,6394837.7,1973824.7,1,18,0,0,0.035,10047
1,67,30,17,5,385.9,338.317,3.01E-03,2.00E+00,1,11910,6395008.7,1973354.9,1,18,0,0,0.035,10047
1,67,30,18,1,72.6,337.535,4.17E-03,2.00E+00,1,11910,6395008.7,1973354.9,1,20,0,0,0.035,10209
1,67,31,18,2,181.4,337.144,4.17E-03,2.00E+00,1,11911,6395478.6,1973525.9,1,20,0,0,0.035,10209
1,68,31,18,3,518,336.753,4.17E-03,2.00E+00,1,12091,6395649.6,1973056,1,20,0,0,0.035,10209
1,69,31,18,4,491.6,334.241,4.17E-03,2.00E+00,1,12271,6395820.6,1972586.2,1,20,0,0,0.035,10209
1,69,32,18,5,520.2,331.865,4.17E-03,2.00E+00,1,12272,6396290.4,1972757.2,1,20,0,0,0.035,10209
1,69,33,18,6,36,329.579,4.17E-03,2.00E+00,1,12273,6396760.3,1972928.2,1,20,0,0,0.035,10209
1,70,33,18,7,645.5,327.294,4.17E-03,2.00E+00,1,12453,6396931.3,1972458.4,1,20,0,0,0.035,10209
1,70,34,18,8,120.1,324.741,4.17E-03,2.00E+00,1,12454,6397401.1,1972629.4,1,20,0,0,0.035,10209
1,71,34,18,9,566.9,321.925,4.17E-03,2.00E+00,1,12634,6397572.1,1972159.5,1,20,0,0,0.035,10209
1,72,34,18,10,292.4,321.189,4.17E-03,2.00E+00,1,12814,6397743.1,1971689.7,1,20,0,0,0.035,10209
1,72,35,18,11,345.1,319.942,4.17E-03,2.00E+00,1,12815,6398213,1971860.7,1,20,0,0,0.035,10209
1,73,35,18,12,528.6,318.921,4.17E-03,2.00E+00,1,12995,6398384,1971390.9,1,20,0,0,0.035,10209
1,73,36,18,13,78.7,318.331,4.17E-03,2.00E+00,1,12996,6398853.9,1971561.9,1,20,0,0,0.035,10209
1,74,36,18,14,553.3,316.969,4.17E-03,2.00E+00,1,13176,6399024.9,1971092,1,20,0,0,0.035,10209
1,74,37,18,15,443.2,316.252,4.17E-03,2.00E+00,1,13177,6399494.7,1971263,1,20,0,0,0.035,10209
1,75,37,18,16,123.1,315.062,4.17E-03,2.00E+00,1,13357,6399665.7,1970793.2,1,20,0,0,0.035,10209
1,75,38,18,17,694.7,313.598,4.17E-03,2.00E+00,1,13358,6400135.6,1970964.2,1,20,0,0,0.035,10209
1,75,39,18,18,62.2,312.135,4.17E-03,2.00E+00,1,13359,6400605.4,1971135.2,1,20,0,0,0.035,10209
1,76,39,18,19,454.7,310.584,4.17E-03,2.00E+00,1,13539,6400776.4,1970665.4,1,20,0,0,0.035,10209
1,61,41,19,1,634.8,404.68,9.27E-03,2.00E+00,5,10841,6399151,1978055.1,1,20,0,0,0.035,10255
1,62,41,19,2,57.5,394.618,9.27E-03,2.00E+00,5,11021,6399322,1977585.2,1,20,0,0,0.035,10255
1,62,40,19,3,683.3,384.968,9.27E-03,2.00E+00,5,11020,6398852.1,1977414.2,1,20,0,0,0.035,10255
1,63,40,19,4,26.7,379.109,9.27E-03,2.00E+00,5,11200,6399023.1,1976944.4,1,20,0,0,0.035,10255
1,63,39,19,5,530.8,374.274,9.27E-03,2.00E+00,5,11199,6398553.3,1976773.4,1,20,0,0,0.035,10255
1,64,39,19,6,351.2,369.439,9.27E-03,2.00E+00,5,11379,6398724.3,1976303.5,1,20,0,0,0.035,10255
