wellname,time,Simulated,Observed
64272,2006-09-21,31.8711338043,12.5
64272,2006-10-27,31.9753913879,12.6999998093
64272,2006-12-27,32.8769645691,22.3999996185
64272,2007-01-10,32.8853912354,24.7999992371
64272,2007-02-08,32.8514175415,18.7000007629
64272,2007-03-07,33.0124206543,27.7999992371
64272,2007-04-11,32.7975158691,22.3999996185
64272,2007-05-04,32.8148193359,19.0
64272,2007-06-07,31.7965545654,18.3999996185
64272,2007-07-10,30.4169502258,14.1999998093
64272,2007-08-07,29.4636135101,5.0
64272,2007-09-17,28.8485374451,9.0
64272,2007-10-04,28.855052948,9.19999980927
64272,2007-11-08,29.7771205902,12.8000001907
64272,2007-12-04,30.047586441,15.1999998093
64272,2008-01-09,30.864692688,22.0
64272,2008-02-05,31.5591220856,30.2999992371
64272,2008-03-04,31.9946250916,30.7000007629
64272,2008-04-03,31.6562004089,26.1000003815
64272,2008-05-07,31.0709648132,21.8999996185
64272,2008-06-09,30.0194606781,18.5
64272,2008-07-03,29.0138378143,14.1000003815
64272,2008-08-11,27.6151504517,9.60000038147
64272,2008-09-09,27.1028862,9.19999980927
64272,2008-10-10,27.2507972717,-0.600000023842
64272,2008-11-12,27.9260005951,10.6000003815
64272,2008-12-16,28.8952884674,16.5
64272,2009-01-16,29.2752132416,17.7999992371
64272,2009-02-26,29.9798526764,24.2999992371
64272,2009-03-11,30.2176303864,28.1000003815
64272,2009-04-01,30.4583721161,26.8999996185
64272,2009-05-07,30.1321563721,24.3999996185
64272,2009-06-03,29.9825134277,19.7999992371
64272,2009-07-07,28.1102237701,12.8000001907
64272,2009-08-04,26.9620780945,4.59999990463
64272,2009-09-08,26.1172504425,6.5
64272,2009-10-20,27.1357345581,9.60000038147
64272,2009-11-09,27.6582546234,12.3999996185
64272,2009-12-14,27.9894886017,16.8999996185
64272,2010-01-07,28.394777298,19.6000003815
64272,2010-02-03,29.2626075745,25.8999996185
64272,2010-03-08,29.9966030121,31.2000007629
64272,2010-04-20,30.6025867462,30.8999996185
64272,2010-05-11,30.6743812561,28.2000007629
64272,2010-06-10,30.0273132324,26.5
64272,2010-07-15,28.6064605713,15.6999998093
64272,2010-08-06,27.9407749176,14.6999998093
64272,2010-09-08,27.2805023193,11.3999996185
64272,2010-10-07,27.464389801,8.89999961853
64272,2010-11-10,28.7070770264,18.5
64272,2010-12-21,29.7842311859,23.2000007629
64272,2011-01-04,30.1805973053,28.2999992371
64272,2011-02-14,30.9496974945,29.1000003815
64272,2011-03-08,31.430229187,32.2000007629
64272,2011-04-19,31.9391937256,30.8999996185
64272,2011-05-16,32.0478134155,26.0
