 sp  tstp    time
 76     1  2297.5
 76     1  2297.5
 76     1  2297.5
 76     1  2297.5
 76     2  2313.0
 76     2  2313.0
 76     2  2313.0
 76     2  2313.0
 77     1  2328.5
 77     1  2328.5
 77     1  2328.5
 77     1  2328.5
 77     2  2344.0
 77     2  2344.0
 77     2  2344.0
 77     2  2344.0
 78     1  2359.0
 78     1  2359.0
 78     1  2359.0
 78     1  2359.0
 78     2  2374.0
 78     2  2374.0
 78     2  2374.0
 78     2  2374.0
 79     1  2389.5
 79     1  2389.5
 79     1  2389.5
 79     1  2389.5
 79     2  2405.0
 79     2  2405.0
 79     2  2405.0
 79     2  2405.0
 80     1  2420.0
 80     1  2420.0
 80     1  2420.0
 80     1  2420.0
 80     2  2435.0
 80     2  2435.0
 80     2  2435.0
 80     2  2435.0
 81     1  2450.5
 81     1  2450.5
 81     1  2450.5
 81     1  2450.5
 81     2  2466.0
 81     2  2466.0
 81     2  2466.0
 81     2  2466.0
 82     1  2481.5
 82     1  2481.5
 82     1  2481.5
 82     1  2481.5
 82     2  2497.0
 82     2  2497.0
 82     2  2497.0
 82     2  2497.0
 83     1  2511.0
 83     1  2511.0
 83     1  2511.0
 83     1  2511.0
 83     2  2525.0
 83     2  2525.0
 83     2  2525.0
 83     2  2525.0
 84     1  2540.5
 84     1  2540.5
 84     1  2540.5
 84     1  2540.5
 84     2  2556.0
 84     2  2556.0
 84     2  2556.0
 84     2  2556.0
 85     1  2571.0
 85     1  2571.0
 85     1  2571.0
 85     1  2571.0
 85     2  2586.0
 85     2  2586.0
 85     2  2586.0
 85     2  2586.0
 86     1  2601.5
 86     1  2601.5
 86     1  2601.5
 86     1  2601.5
 86     2  2617.0
 86     2  2617.0
 86     2  2617.0
 86     2  2617.0
 87     1  2632.0
 87     1  2632.0
 87     1  2632.0
 87     1  2632.0
 87     2  2647.0
 87     2  2647.0
 87     2  2647.0
 87     2  2647.0
 88     1  2662.5
 88     1  2662.5
 88     1  2662.5
 88     1  2662.5
 88     2  2678.0
 88     2  2678.0
 88     2  2678.0
 88     2  2678.0
 89     1  2693.5
 89     1  2693.5
 89     1  2693.5
 89     1  2693.5
 89     2  2709.0
 89     2  2709.0
 89     2  2709.0
 89     2  2709.0
 90     1  2724.0
 90     1  2724.0
 90     1  2724.0
 90     1  2724.0
 90     2  2739.0
 90     2  2739.0
 90     2  2739.0
 90     2  2739.0
 91     1  2754.5
 91     1  2754.5
 91     1  2754.5
 91     1  2754.5
 91     2  2770.0
 91     2  2770.0
 91     2  2770.0
 91     2  2770.0
 92     1  2785.0
 92     1  2785.0
 92     1  2785.0
 92     1  2785.0
 92     2  2800.0
 92     2  2800.0
 92     2  2800.0
 92     2  2800.0
 93     1  2815.5
 93     1  2815.5
 93     1  2815.5
 93     1  2815.5
 93     2  2831.0
 93     2  2831.0
 93     2  2831.0
 93     2  2831.0
 94     1  2846.5
 94     1  2846.5
 94     1  2846.5
 94     1  2846.5
 94     2  2862.0
 94     2  2862.0
 94     2  2862.0
 94     2  2862.0
 95     1  2876.5
 95     1  2876.5
 95     1  2876.5
 95     1  2876.5
 95     2  2891.0
 95     2  2891.0
 95     2  2891.0
 95     2  2891.0
 96     1  2906.5
 96     1  2906.5
 96     1  2906.5
 96     1  2906.5
 96     2  2922.0
 96     2  2922.0
 96     2  2922.0
 96     2  2922.0
 97     1  2937.0
 97     1  2937.0
 97     1  2937.0
 97     1  2937.0
 97     2  2952.0
 97     2  2952.0
 97     2  2952.0
 97     2  2952.0
 98     1  2967.5
 98     1  2967.5
 98     1  2967.5
 98     1  2967.5
 98     2  2983.0
 98     2  2983.0
 98     2  2983.0
 98     2  2983.0
 99     1  2998.0
 99     1  2998.0
 99     1  2998.0
 99     1  2998.0
 99     2  3013.0
 99     2  3013.0
 99     2  3013.0
 99     2  3013.0
100     1  3028.5
100     1  3028.5
100     1  3028.5
100     1  3028.5
100     2  3044.0
100     2  3044.0
100     2  3044.0
100     2  3044.0
101     1  3059.5
101     1  3059.5
101     1  3059.5
101     1  3059.5
101     2  3075.0
101     2  3075.0
101     2  3075.0
101     2  3075.0
102     1  3090.0
102     1  3090.0
102     1  3090.0
102     1  3090.0
102     2  3105.0
102     2  3105.0
102     2  3105.0
102     2  3105.0
103     1  3120.5
103     1  3120.5
103     1  3120.5
103     1  3120.5
103     2  3136.0
103     2  3136.0
103     2  3136.0
103     2  3136.0
104     1  3151.0
104     1  3151.0
104     1  3151.0
104     1  3151.0
104     2  3166.0
104     2  3166.0
104     2  3166.0
104     2  3166.0
105     1  3181.5
105     1  3181.5
105     1  3181.5
105     1  3181.5
105     2  3197.0
105     2  3197.0
105     2  3197.0
105     2  3197.0
106     1  3212.5
106     1  3212.5
106     1  3212.5
106     1  3212.5
106     2  3228.0
106     2  3228.0
106     2  3228.0
106     2  3228.0
107     1  3242.0
107     1  3242.0
107     1  3242.0
107     1  3242.0
107     2  3256.0
107     2  3256.0
107     2  3256.0
107     2  3256.0
108     1  3271.5
108     1  3271.5
108     1  3271.5
108     1  3271.5
108     2  3287.0
108     2  3287.0
108     2  3287.0
108     2  3287.0
109     1  3302.0
109     1  3302.0
109     1  3302.0
109     1  3302.0
109     2  3317.0
109     2  3317.0
109     2  3317.0
109     2  3317.0
110     1  3332.5
110     1  3332.5
110     1  3332.5
110     1  3332.5
110     2  3348.0
110     2  3348.0
110     2  3348.0
110     2  3348.0
111     1  3363.0
111     1  3363.0
111     1  3363.0
111     1  3363.0
111     2  3378.0
111     2  3378.0
111     2  3378.0
111     2  3378.0
112     1  3393.5
112     1  3393.5
112     1  3393.5
112     1  3393.5
112     2  3409.0
112     2  3409.0
112     2  3409.0
112     2  3409.0
113     1  3424.5
113     1  3424.5
113     1  3424.5
113     1  3424.5
113     2  3440.0
113     2  3440.0
113     2  3440.0
113     2  3440.0
114     1  3455.0
114     1  3455.0
114     1  3455.0
114     1  3455.0
114     2  3470.0
114     2  3470.0
114     2  3470.0
114     2  3470.0
115     1  3485.5
115     1  3485.5
115     1  3485.5
115     1  3485.5
115     2  3501.0
115     2  3501.0
115     2  3501.0
115     2  3501.0
116     1  3516.0
116     1  3516.0
116     1  3516.0
116     1  3516.0
116     2  3531.0
116     2  3531.0
116     2  3531.0
116     2  3531.0
117     1  3546.5
117     1  3546.5
117     1  3546.5
117     1  3546.5
117     2  3562.0
117     2  3562.0
117     2  3562.0
117     2  3562.0
118     1  3577.5
118     1  3577.5
118     1  3577.5
118     1  3577.5
118     2  3593.0
118     2  3593.0
118     2  3593.0
118     2  3593.0
119     1  3607.0
119     1  3607.0
119     1  3607.0
119     1  3607.0
119     2  3621.0
119     2  3621.0
119     2  3621.0
119     2  3621.0
120     1  3636.5
120     1  3636.5
120     1  3636.5
120     1  3636.5
120     2  3652.0
120     2  3652.0
120     2  3652.0
120     2  3652.0
121     1  3667.0
121     1  3667.0
121     1  3667.0
121     1  3667.0
121     2  3682.0
121     2  3682.0
121     2  3682.0
121     2  3682.0
122     1  3697.5
122     1  3697.5
122     1  3697.5
122     1  3697.5
122     2  3713.0
122     2  3713.0
122     2  3713.0
122     2  3713.0
123     1  3728.0
123     1  3728.0
123     1  3728.0
123     1  3728.0
123     2  3743.0
123     2  3743.0
123     2  3743.0
123     2  3743.0
124     1  3758.5
124     1  3758.5
124     1  3758.5
124     1  3758.5
124     2  3774.0
124     2  3774.0
124     2  3774.0
124     2  3774.0
125     1  3789.5
125     1  3789.5
125     1  3789.5
125     1  3789.5
125     2  3805.0
125     2  3805.0
125     2  3805.0
125     2  3805.0
126     1  3820.0
126     1  3820.0
126     1  3820.0
126     1  3820.0
126     2  3835.0
126     2  3835.0
126     2  3835.0
126     2  3835.0
127     1  3850.5
127     1  3850.5
127     1  3850.5
127     1  3850.5
127     2  3866.0
127     2  3866.0
127     2  3866.0
127     2  3866.0
128     1  3881.0
128     1  3881.0
128     1  3881.0
128     1  3881.0
128     2  3896.0
128     2  3896.0
128     2  3896.0
128     2  3896.0
129     1  3911.5
129     1  3911.5
129     1  3911.5
129     1  3911.5
129     2  3927.0
129     2  3927.0
129     2  3927.0
129     2  3927.0
130     1  3942.5
130     1  3942.5
130     1  3942.5
130     1  3942.5
130     2  3958.0
130     2  3958.0
130     2  3958.0
130     2  3958.0
131     1  3972.0
131     1  3972.0
131     1  3972.0
131     1  3972.0
131     2  3986.0
131     2  3986.0
131     2  3986.0
131     2  3986.0
132     1  4001.5
132     1  4001.5
132     1  4001.5
132     1  4001.5
132     2  4017.0
132     2  4017.0
132     2  4017.0
132     2  4017.0
133     1  4032.0
133     1  4032.0
133     1  4032.0
133     1  4032.0
133     2  4047.0
133     2  4047.0
133     2  4047.0
133     2  4047.0
134     1  4062.5
134     1  4062.5
134     1  4062.5
134     1  4062.5
134     2  4078.0
134     2  4078.0
134     2  4078.0
134     2  4078.0
135     1  4093.0
135     1  4093.0
135     1  4093.0
135     1  4093.0
135     2  4108.0
135     2  4108.0
135     2  4108.0
135     2  4108.0
136     1  4123.5
136     1  4123.5
136     1  4123.5
136     1  4123.5
136     2  4139.0
136     2  4139.0
136     2  4139.0
136     2  4139.0
137     1  4154.5
137     1  4154.5
137     1  4154.5
137     1  4154.5
137     2  4170.0
137     2  4170.0
137     2  4170.0
137     2  4170.0
138     1  4185.0
138     1  4185.0
138     1  4185.0
138     1  4185.0
138     2  4200.0
138     2  4200.0
138     2  4200.0
138     2  4200.0
