MF6Name,Well_Name,x,y,layer,mag,mag2,nInterp,localx,localy,Row,Column,nInterp,ibound1,ibound2,ibound3,ibound4,Column1,Column2,Column3,Column4,Row1,Row2,Row3,Row4,Weight1,Weight2,Weight3,Weight4,Node,Node1,Node2,Node3,Node4
H070A,325932104193001,563013.4,3650638.9,1,,,4,52950.40000000002,62714.89999999991,455,264,4,1,1,1,1,263,264,263,264,454,454,455,455,0.07239369817481117,0.1814637741872393,0.2127808822746608,0.5333616453632887,134648,134351,134352,134647,134648
H071A,325919104231101,557280.3,3650203.4,1,,,4,47217.30000000005,62279.39999999991,457,235,4,1,1,1,1,235,236,235,236,456,456,457,457,0.06979755052300295,0.019202688084158752,0.7144424876535515,0.19655727373928678,135211,134915,134916,135211,135212
H072A,Cottonwood level-821572,544756.5,3649171.6,3,,,4,34693.5,61247.60000000009,462,173,4,1,1,1,1,172,173,172,173,462,462,463,463,0.03807977351231229,0.9218740958918392,0.001588563400531867,0.038457567195316435,136629,136628,136629,136924,136925
H073A,325841104251501,554068.5,3649015.0,1,,,4,44005.5,61091.0,463,219,4,1,1,1,1,219,220,219,220,462,462,463,463,0.136125029826566,0.045375009942210554,0.6138749701733436,0.20462499005787985,136971,136675,136676,136971,136972
H074A,325702104352801,538169.2,3645891.6,3,,,4,28106.199999999953,57967.60000000009,478,140,4,1,1,1,1,140,141,140,141,478,478,479,479,0.5142694730868147,0.14090431200953,0.27066650082610705,0.07415971407754811,141332,141332,141333,141628,141629
H075A,325645104262501,552270.6,3645433.0,1,,,4,42207.59999999998,57509.0,481,210,4,1,1,1,1,210,211,210,211,480,480,481,481,0.2580746242000522,0.11741253081548444,0.42923150798807486,0.19528133699638842,142290,141994,141995,142290,142291
H076A,325638104274801,550061.2,3645224.5,1,,,4,39998.19999999995,57300.5,482,199,4,1,1,1,1,199,200,199,200,481,481,482,482,0.22721316262002286,0.11182684374361936,0.44295306660167594,0.21800692703468189,142575,142279,142280,142575,142576
H077A,325633104274601,550169.2,3645052.5,3,,,4,40106.19999999995,57128.5,483,200,4,1,1,1,1,199,200,199,200,482,482,483,483,0.06452236697990293,0.419510878865165,0.06877915214871413,0.44718760200621804,142872,142575,142576,142871,142872
H078A,325516104404601,529922.5,3642598.7,3,,,4,19859.5,54674.700000000186,495,99,4,1,1,1,1,99,100,99,100,494,494,495,495,0.22301164326207368,0.06325655048803593,0.5560188188393007,0.1577129874105896,146323,146027,146028,146323,146324
H079A,325454104251401,554132.9,3642024.8,1,,,4,44069.90000000002,54100.799999999814,498,220,4,1,1,1,1,219,220,219,220,497,497,498,498,0.1863178379706246,0.24711093797754477,0.24355172378847975,0.32301950026335086,147332,147035,147036,147331,147332
H080A,325450104251101,554211.5,3641902.1,1,,,4,44148.5,53978.10000000009,498,220,4,1,1,1,1,219,220,219,220,498,498,499,499,0.03224078207409718,0.7912500315752782,0.006910574006269016,0.16959861234435555,147332,147331,147332,147627,147628
H081A,325314104230802,557423.7,3638963.9,1,,,4,47360.69999999995,51039.89999999991,513,236,4,1,1,1,1,235,236,235,236,512,512,513,513,0.015550726349374577,0.20223739104506314,0.05585228009293991,0.7263596025126224,151788,151491,151492,151787,151788
H082A,Zumwalt level-822322,553350.4,3638169.3,3,,,4,43287.40000000002,50245.299999999814,517,216,4,1,1,1,1,215,216,215,216,516,516,517,517,0.08562094560144592,0.18223477697820015,0.2340322795634068,0.49811199785694726,152952,152655,152656,152951,152952
H083A,325246104203401,561430.5,3638125.8,1,,,4,51367.5,50201.799999999814,517,256,4,1,1,1,1,255,256,255,256,516,516,517,517,0.007934919910143995,0.043683627770915334,0.14578734207933075,0.8025941102396099,152992,152695,152696,152991,152992
H084A,325225104210501,560628.9,3637474.2,1,,,4,50565.90000000002,49550.200000000186,520,252,4,1,1,1,1,251,252,251,252,520,520,521,521,0.11249661556533377,0.7000381812227406,0.025954828003642603,0.16151037520828293,153876,153875,153876,154171,154172
H085A,325033104220201,559168.3,3634016.2,1,,,4,49105.30000000005,46092.200000000186,537,245,4,1,1,1,1,244,245,244,245,537,537,538,538,0.24857679793931234,0.37434533679498694,0.15047275268444277,0.22660511258125807,158901,158900,158901,159196,159197
H086A,325032104252001,554021.2,3633955.9,1,,,4,43958.19999999995,46031.89999999991,538,219,4,1,1,1,1,219,220,219,220,537,537,538,538,0.3183660789317244,0.004806592665882006,0.6667607802110349,0.010066548191358741,159171,158875,158876,159171,159172
H087A,324943104233801,556681.5,3632461.9,1,,,4,46618.5,44537.89999999991,545,232,4,1,1,1,1,232,233,232,233,545,545,546,546,0.6821415557809617,0.21440262619597036,0.07871504168956107,0.02474077633350689,161256,161256,161257,161552,161553
H088A,324838104435301,525096.9,3630329.2,3,,,4,15033.900000000023,42405.200000000186,556,75,4,1,1,1,1,75,76,75,76,555,555,556,556,0.22621497944316724,0.06874246905852112,0.540726084741799,0.16431646675651265,164355,164059,164060,164355,164356
H089A,324831104244401,554977.8,3630235.0,3,,,4,44914.80000000005,42311.0,556,224,4,1,1,1,1,223,224,223,224,556,556,557,557,0.1900543678647649,0.6366377501659334,0.0398430313235838,0.13346485064571803,164504,164503,164504,164799,164800
H090A,324728104271901,550956.8,3628273.4,1,,,4,40893.80000000005,40349.39999999991,566,204,4,1,1,1,1,203,204,203,204,565,565,566,566,0.0165016926298156,0.05913657985827718,0.2016642184493058,0.7226975090626016,167444,167147,167148,167443,167444
H091A,324654104233701,556737.3,3627257.9,3,,,4,46674.30000000005,39333.89999999991,571,233,4,1,1,1,1,232,233,232,233,570,570,571,571,0.013352995599170728,0.014265711152799265,0.47012350165638167,0.5022577915916483,168953,168656,168657,168952,168953
H092A,Artesia A Level-822328,553504.7,3626977.1,3,,,4,43441.69999999995,39053.10000000009,572,216,4,1,1,1,1,216,217,216,217,572,572,573,573,0.3491369682849135,0.28263349222599865,0.2034956571825178,0.1647338823065701,169232,169232,169233,169528,169529
H093A,324620104255001,554944.1,3626311.4,3,,,4,44881.09999999998,38387.39999999991,576,224,4,1,1,1,1,223,224,223,224,575,575,576,576,0.12820581870092287,0.19439022042988044,0.2692132539149661,0.4081907069542306,170424,170127,170128,170423,170424
H094A,324620104255101,554944.1,3626311.4,1,,,4,44881.09999999998,38387.39999999991,576,224,4,1,1,1,1,223,224,223,224,575,575,576,576,0.12820581870092287,0.19439022042988044,0.2692132539149661,0.4081907069542306,170424,170127,170128,170423,170424
H095A,324622104430401,526382.3,3626144.6,3,,,4,16319.300000000047,38220.60000000009,577,82,4,1,1,1,1,81,82,81,82,576,576,577,577,0.18615297163247965,0.3072853485777489,0.19110384853740398,0.3154578312523674,170578,170281,170282,170577,170578
H096A,324614104244101,555079.2,3626016.7,3,,,4,45016.19999999995,38092.700000000186,577,224,4,1,1,1,1,224,225,224,225,577,577,578,578,0.6225185645969431,0.2351327517165141,0.10332252344893933,0.039026160237603386,170720,170720,170721,171016,171017
H097A,324612104213301,559970.9,3625983.6,3,,,4,49907.90000000002,38059.60000000009,577,249,4,1,1,1,1,248,249,248,249,577,577,578,578,0.2837250729340191,0.4093871516745215,0.12562432657233466,0.18126344881912473,170745,170744,170745,171040,171041
H098A,324553104250201,554536.4,3625367.1,1,,,4,44473.40000000002,37443.10000000009,580,222,4,1,1,1,1,221,222,221,222,580,580,581,581,0.2665404181945361,0.361969086299429,0.15754293502243258,0.21394756048360247,171606,171605,171606,171901,171902
H099A,324522104195901,562426.2,3624459.0,1,,,4,52363.19999999995,36535.0,585,261,4,1,1,1,1,260,261,260,261,584,584,585,585,0.02334652909272076,0.09102553803496773,0.18078136401124822,0.7048465688610632,173125,172828,172829,173124,173125
H100A,324501104223701,558318.6,3623787.3,1,,,4,48255.59999999998,35863.299999999814,588,240,4,1,1,1,1,240,241,240,241,588,588,589,589,0.4829654398356465,0.2924063886845186,0.13991692714099432,0.08471124433884059,173992,173992,173993,174288,174289
H101A,324431104274601,550282.1,3622819.4,3,,,4,40219.09999999998,34895.39999999991,593,200,4,1,1,1,1,200,201,200,201,593,593,594,594,0.5514672859768504,0.4125031268116286,0.02061177232289557,0.015417814888625547,175432,175432,175433,175728,175729
H102A,324418104203301,561553.7,3622482.7,1,,,4,51490.69999999995,34558.700000000186,595,256,4,1,1,1,1,256,257,256,257,594,594,595,595,0.1571092579617106,0.13313571141764727,0.38418955695888374,0.3255654736617584,176080,175784,175785,176080,176081
H103A,324340104202301,561821.3,3621314.2,1,,,4,51758.30000000005,33390.200000000186,601,258,4,1,1,1,1,257,258,257,258,600,600,601,601,0.101664198838794,0.3800028655058968,0.1094031677396296,0.4089297679156796,177858,177561,177562,177857,177858
H104A,324325104233001,557211.6,3621089.1,1,,,4,47148.59999999998,33165.10000000009,602,235,4,1,1,1,1,234,235,234,235,601,601,602,602,0.04560817462615309,0.3170936467370662,0.08013747080439426,0.5571607078323866,178131,177834,177835,178130,178131
H105A,324250104224101,558238.2,3619752.7,1,,,4,48175.19999999995,31828.700000000186,608,240,4,1,1,1,1,239,240,239,240,608,608,609,609,0.016223472529522547,0.703274658386373,0.006324845294278669,0.2741770237898259,179912,179911,179912,180207,180208
H106A,324249104220601,559149.6,3619727.3,3,,,4,49086.59999999998,31803.299999999814,608,245,4,1,1,1,1,244,245,244,245,608,608,609,609,0.2918758316847049,0.30135967296671573,0.2001308492981002,0.20663364605047918,179917,179916,179917,180212,180213
H107A,324154104210701,560696.0,3618042.9,1,,,4,50633.0,30118.899999999907,617,252,4,1,1,1,1,252,253,252,253,616,616,617,617,0.1771860558303399,0.042948359185089505,0.6277133317457498,0.15215225323882076,182588,182292,182293,182588,182589
H108A,324105104222601,558647.8,3616521.7,3,,,4,48584.80000000005,28597.700000000186,624,242,4,1,1,1,1,242,243,242,243,624,624,625,625,0.6493685363915577,0.008927017573849014,0.33707065870846253,0.004633787326130802,184650,184650,184651,184946,184947
H109A,324034104201801,561987.2,3615587.3,1,,,4,51924.19999999995,27663.299999999814,629,259,4,1,1,1,1,258,259,258,259,628,628,629,629,0.005185891913998855,0.008235725837083019,0.3811976283275038,0.6053807539214143,186147,185850,185851,186146,186147
