wellname,layer,row,column,roffset,coffset,xlocal,ylocal,x,y,active
T256MW-8,2,315,118,-0.390283592,0.367704847,58933.85242,87445.1418,6478871.706,1872128.119,1
T259ML5-5,1,71,35,-0.142591116,-0.058739544,17220.63023,209321.2956,6397990,1972387.479,1
T259MW12,1,70,34,0.440259902,0.46029448,16980.14724,209529.87,6397692.683,1972501.225,1
T259MW13,1,70,34,0.472420614,0.498489236,16999.24462,209513.7897,6397716.128,1972492.646,1
T259MW2,1,71,35,-0.281839718,-0.065973967,17217.01302,209390.9199,6397962.788,1972451.668,1
T259MW6,1,71,34,-0.2697301,0.258559337,16879.27967,209384.865,6397647.493,1972330.466,1
T262MW-3,1,301,117,0.091847016,-0.116113424,58191.94329,94204.07649,6475862.848,1878225.692,1
T283MW-2,1,321,113,-0.093865746,-0.032636597,56233.6817,84296.93287,6477411.127,1868246.258,0
T284MW-1,1,309,128,0.117224023,0.133085853,63816.54293,90191.38799,6482520.663,1876378.725,1
T293MW-1,1,239,98,-0.183644937,0.128023952,48814.01198,125341.8225,6456400.739,1904278.161,1
T317MW-2,1,316,121,0.456854907,0.47594638,60487.97319,86521.57255,6480647.981,1871791.789,1
T317MW-4,1,317,121,-0.488093343,0.488919304,60494.45965,86494.04667,6480663.491,1871768.141,1
T413MW-2,1,351,115,-0.453701275,0.119839779,57309.91989,69476.85064,6483491.226,1854688.031,0
T413MW-3,1,350,115,0.48839701,0.109660897,57304.83045,69505.8015,6483476.542,1854713.495,0
T7200MW-4,1,290,123,-0.140117093,0.268556885,61384.27844,99820.05855,6476941.883,1884594.832,1
T7200MW8D,2,290,123,-0.131841517,0.28220078,61391.10039,99815.92076,6476949.708,1884593.277,1
T802MW-4,1,329,72,0.290495387,-0.063451373,35718.27431,80104.75231,6459566.76,1857290.214,0
T802MW-6,1,329,71,-0.036053003,0.34262964,35421.31482,80268.0265,6459231.866,1857342.075,0
T859MW-6,1,305,116,-0.232336497,0.005528515,57752.76426,92366.16825,6476078.756,1876348.415,1
T932MW-3,1,328,121,-0.096727795,0.107639794,60303.8199,80798.3639,6482432.387,1866350.747,0
W1,-3,170,100,0.243951969,0.493946434,49996.97322,159628.024,6445785.787,1936901.248,1
W2,1,170,99,0.018739567,-0.258658235,49120.67088,159740.6302,6444923.819,1936707.35,1
